L,N,J,V,W,ts,holes,vdimers,hdimers,representator,instance,unconstrained,energy,avrgtimeavrgcorr,stdtimeavrgcorr,avrgcorr,stdcorr,periodicity,filling
12,9,1,16,0.0,0.05,0,1,1,101111111100,3,false,5.0,0.9947254576765502,9.126958242855444e-16,0.9947254576765502,9.122737029955333e-16,12.0,0.75
12,9,1,16,0.0,0.05,0,1,1,101111111100,3,true,5.0,0.9924188816750156,1.5819042593504617e-15,0.9924188816750156,1.5825577302652516e-15,12.0,0.75
12,9,1,1,0.0,0.05,0,1,1,101111111100,3,false,5.0,0.9944686951371147,3.9305916002654145e-16,0.9944686951371147,3.933774470450746e-16,12.0,0.75
12,9,1,1,0.0,0.05,0,1,1,101111111100,3,true,5.0,0.9911485145464838,6.942551538856898e-16,0.9911485145464835,6.944271700942349e-16,12.0,0.75
12,9,1,4,0.0,0.05,0,1,1,101111111100,3,false,5.0,0.9944880196392462,2.9427318953505195e-16,0.9944880196392462,2.9410448517615177e-16,12.0,0.75
12,9,1,4,0.0,0.05,0,1,1,101111111100,3,true,5.0,0.9912254704602059,7.427643064161091e-16,0.9912254704602059,7.425449326341203e-16,12.0,0.75
12,9,1,16,0.0,0.054844192548908884,0,1,1,101111111100,3,false,5.0,0.9946366955181449,9.078463366365316e-16,0.9937205246856843,8.857928068199444e-16,12.0,0.75
12,9,1,16,0.0,0.054844192548908884,0,1,1,101111111100,3,true,5.0,0.9923081712815625,1.5829533094178844e-15,0.9911654587207638,1.5822993881834216e-15,12.0,0.75
12,9,1,1,0.0,0.054844192548908884,0,1,1,101111111100,3,false,5.0,0.9943699641611897,3.9093540791785635e-16,0.9933508988068561,3.9246909874022597e-16,12.0,0.75
12,9,1,1,0.0,0.054844192548908884,0,1,1,101111111100,3,true,5.0,0.9909904895047277,7.003770662719344e-16,0.9893594122905213,7.608156577176538e-16,12.0,0.75
12,9,1,4,0.0,0.054844192548908884,0,1,1,101111111100,3,false,5.0,0.9943900495177526,2.8899980375215275e-16,0.9933788374271445,2.1955396103524533e-16,12.0,0.75
12,9,1,4,0.0,0.054844192548908884,0,1,1,101111111100,3,true,5.0,0.991070466513704,7.469026877008319e-16,0.9894705719498851,8.048290422875334e-16,12.0,0.75
12,9,1,16,0.0,0.060157709126835844,0,1,1,101111111100,3,false,5.0,0.9944515156592649,9.045053876908462e-16,0.992540156263337,8.93679602262484e-16,12.0,0.75
12,9,1,16,0.0,0.060157709126835844,0,1,1,101111111100,3,true,5.0,0.9920839127962192,1.5851892711370317e-15,0.9897691979796527,1.6529469082068702e-15,12.0,0.75
